Cave_ID,Cave_String,Year,Date,start_time,end_time,Taken_from_first-last_bird,hours,number_persons,net_length,only_nest_check,Only_during_day,Notebook,Remarks
,MT09_RM04B,2013,06/05/2013,22:50,23:00,YES,0,2,0,YES,NO,04.13-06.12,
,MT09_RM05BT,2013,06/05/2013,20:50,00:20,YES,3.5,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,06/05/2013,20:40,01:10,YES,5.5,2,0,NO,NO,04.13-06.13,
,MT09_RM04A,2013,07/05/2013,21:45,00:45,YES,3,2,0,NO,NO,04.13-05.13,
,MT09_RM05BT,2013,07/05/2013,20:40,01:10,YES,5.5,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,08/05/2013,20:45,02:00,NO,5.25,2,0,NO,NO,04.13-06.13,
,MT09_RM04A,2013,08/05/2013,23:15,02:00,YES,0.14,2,0,NO,NO,04.13-05.13,
,MT09_RM04B,2013,08/05/2013,23:15,02:00,YES,0.14,2,0,NO,NO,04.13-05.13,
,MT09_RM04B,2013,10/05/2013,01:20,01:20,YES,0,2,0,NO,NO,04.13-05.13,
,MT09_RM05BT,2013,10/05/2013,01:40,05:00,YES,4.4,2,0,NO,NO,04.13-05.13,night of the 09/05/2013
,MT09_RM05BT,2013,10/05/2013,21:25,02:05,YES,3.67,1,0,NO,NO,04.13-05.13,
,MT09_RM04A,2013,11/05/2013,21:00,01:00,NO,4,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,11/05/2013,23:00,23:30,YES,0.5,1,0,NO,NO,04.13-05.13,
,MT09_RM05BT,2013,12/05/2013,21:00,01:30,YES,4.5,1,0,NO,NO,01.12-05.13,
,MT09_RM04A,2013,12/05/2013,20:20,01:30,NO,5.17,1,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,13/05/2013,22:00,02:30,NO,4.3,2,0,NO,NO,01.12-05.13,
,MT09_RM05BT,2013,14/05/2013,21:00,00:50,YES,3.83,2,0,NO,NO,04.13-06.13,
,MT09_RM04B,2013,15/05/2013,00:20,00:20,YES,0,2,0,NO,NO,04.13-05.13,
,MT09_RM05GC,2013,15/05/2013,01:00,01:20,YES,0.4,2,0,NO,NO,04.13-05.13,
,MT24_Majjistral_Subt,2013,15/05/2013,21:15,22:30,YES,1.25,1,0,NO,NO,red,
,MT24_Majjistral_Thomas,2013,15/05/2013,21:15,23:15,YES,2,1,0,NO,NO,lightgreen,
,MT24_Majjistral_Eggshell,2013,15/05/2013,21:15,23:15,YES,2,1,0,NO,NO,lightgreen,
,MT09_RM05BT,2013,16/05/2013,21:15,00:15,NO,3,2,0,NO,NO,01.12-05.13,
,MT09_RM04B,2013,17/05/2013,01:00,01:00,YES,0,2,0,NO,NO,01.12-05.13,
,MT09_RM05BT,2013,18/05/2013,21:30,02:30,NO,5,2,0,NO,NO,01.12-05.13,
,MT09_RM05BT,2013,20/05/2013,03:00,05:30,NO,2.5,1,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,21/05/2013,21:30,05:15,NO,7.75,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,22/05/2013,21:00,03:30,YES,6.5,3,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,23/05/2013,21:00,04:10,YES,7.17,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,24/05/2013,21:30,05:15,NO,7.75,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,25/05/2013,21:15,05:30,NO,8.25,3,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,26/05/2013,21:00,03:00,NO,6,2,0,NO,NO,04.13-06.13,
,MT09_RM05BT,2013,27/05/2013,21:00,03:00,NO,6,2,0,NO,NO,04.13-06.14,
