Errors,site,Cave_string,ringingDate,month,Year,Hour,HourTime,type,ringnumber,Replacement,age,sex,winglength,weight,billlength,billheight,tarsus,ringer,cave,nest_or_direction,remarks,sexed_by,tags,feather_sample,broodpatch,Prospector
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,23,23:00:00,R,EE00742,0,6,,,,,,,BLM Seabird Project,,,"bird caught in net, escaped before handling, ring found below net, regurgitate sample",,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,22,22:00:00,R,EE00744,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,3,03:00:00,R,EE01150,0,6,F,,340,,,,BLM Seabird Project,,way out,"on way out, female by call",call,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,0,00:00:00,R,EE01151,0,6,,,335,,,,BLM Seabird Project,,way out,on way out,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,14/05/2012,5,2012,22,22:00:00,R,EE01806,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,15/05/2012,5,2012,22,22:00:00,R,EE00743,0,6,,,405,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,15/05/2012,5,2012,21,21:00:00,R,EE00744,0,6,,,360,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,15/05/2012,5,2012,21,21:00:00,R,EE00750,0,6,,,480,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,15/05/2012,5,2012,22,22:00:00,R,EE01151,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
0,"L-Ahrax Point, Mellieha",MT09_RM04A,15/05/2012,5,2012,21,21:00:00,N,EE01808,0,6,,,,,,,BLM Seabird Project,,,,,,,,0
