Origninal_ring,Replacement_ring,DateReplacement,Pit_tag,Gps_tag,GLS_tag,F_ring_additional,Remarks,In case of gps tagged birds remarks refers to month when gps tag was on bird
EE02208,EE04343,08/05/2019,A00,,,,without metal ring; identified from pit tag,
EE02209,,,,,,,,
EE02210,,,,,,,,
EE02211,,,,,,,,
EE02212,,,,,,,,
EE02213,,,,,,,,
EE02214,EE04290,25/03/2019,C21,,,,without metal ring; identified from pit tag,
EE02215,,,,,,,,
EE02216,,,,,,,,
EE02217,,,,,,,,
EE02219,,,,,,,,
EE02220,,,,,,,,
EE02221,,,,,,,,
EE02222,,,,,,,,
EE02223,,,,,,,,
EE01669,,,,,,,,
EE02224,,,,,,,,
EE02225,,,,,,,,
EE02226,,,,,,,,
EE02227,,,,,,,,
EE02228,,,,,,,,
EE02229,,,,,,,,
EE02230,,,,,,,,
EE02231,,,,,,,,
EE02232,,,,,,,,
EE02233,,,,,,,,
EE02234,,,,,,,,
EE02235,,,,,,,,
EE02236,,,,,,,,
EE02237,,,,,,,,
EE02238,,,,,,,,
EE02239,,,,,,,,
EE02240,,,,,,,,
EE02241,,,,,,,,
EE02242,,,,,,,,
EE02243,,,,,,,,
EE02244,,,,,,,,
EE02245,,,,,,,,
EE02246,,,,,,,,
EE02247,,,,,,,,
EE02248,,,,,,,,
EE02249,,,,,,,,
EE02250,,,,,,,,
EE02251,,,,,,,,
EE02252,,,,,,,,
EE02253,,,,,,,,
EE02254,,,,,,,,
EE02255,,,,,,,,
EE02256,,,,,,,,
EE02257,,,,,,,,
EE02258,,,,,,,,
EE02259,,,,,,,,
EE02260,,,,,,,,
EE02261,,,,,,,,
EE02262,,,,,,,,
EE02263,,,,,,,,
EE02264,,,,,,,,
EE02265,,,,,,,,
EE02266,,,,,,,,
EE02267,,,,,,,,
EE02268,,,,,,,,
EE02269,,,,,,,,
EE02270,,,,,,,,
EE02271,,,,,,,,
EE02272,,,,,,,,
EE02273,,,,,,,,
EE02274,,,,,,,,
EE02275,,,,,,,,
EE02276,,,,,,,,
EE02277,,,,,,,,
EE02278,,,,,,,,
EE02279,,,,,,,,
EE02280,,,,,,,,
EE02281,,,,,,,,
EE02282,,,,,,,,
EE02283,,,,,,,,
EE02284,,,,,,,,
EE02285,,,,,,,,
EE02286,,,,,,,,
EE02291,,,,,,,,
EE02292,,,,,,,,
EE02293,,,,,,,,
EE02287,,,,,,,,
EE02288,,,,,,,,
EE02301,,,,,,,,
EE02302,,,,,,,,
EE02303,,,,,,,,
EE02304,,,,,,,,
EE02305,,,,,,,,
EE02306,,,,,,,,
EE02307,,,,,,,,
EE02308,,,,,,,,
EE02309,,,,,,,,
EE02310,,,,,,,,
EE02311,,,,,,,,
EE02312,,,,,,,,
EE02313,,,,,,,,
EE01108,,,,,,,,
EE02314,,,,,,,,
EE02315,,,,,,,,
EE02316,,,,,,,,
EE02317,,,,,,,,
EE02318,,,,,,,,
EE02319,,,,,,,,
EE02297,,,,,,,,
EE02289,,,,,,,,
EE02290,,,,,,,,
EE02294,,,,,,,,
EE02295,,,,,,,,
EE02296,,,,,,,,
EE02298,,,,,,,,
EE02299,,,,,,,,
EE02300,,,,,,,,
EE02351,,,,,,,,
EE02352,,,,,,,,
EE02353,,,,,,,,
EE02354,,,,,,,,
EE02355,,,,,,,,
EE02356,,,,,,,,
EE02357,,,,,,,,
EE02358,,,,,,,,
EE02350,,,,,,,,
EE01575,EE03719,11/05/2018,,,,,,
EE01406,,,,,,,,
EE02360,,,,,,,,
EE02361,,,,,,,,
EE01515,,,,,,,,
EE02362,,,,,,,,
EE01547,,,,,,,,
EE01202,,,,,,,,
EE02363,,,,,,,,
EE01166,EE03435,31/05/2018,,,,,,
EE02364,,,,,,,,
EE01566,,,,,,,,
EE02365,,,,,,,,
EE02366,,,,,,,,
EE02367,,,,,,,,
EE01325,,,,,,,,
EE02368,,,,,,,,
EE02369,,,,,,,,
EE02370,,,,,,,,
EE02371,,,,,,,,
EE02373,,,,,,,,
EE02374,,,,,,,,
EE02375,,,,,,,,
EE02376,,,,,,,,
EE02377,,,,,,,,
EE02378,,,,,,,,
EE02379,,,,,,,,
EE02380,,,,,,,,
EE02382,,,,,,,,
EE02381,,,,,,,,
EE02383,,,,,,,,
EE02384,,,,,,,,
EE02385,,,,,,,,
EE02386,,,,,,,,
EE02387,,,,,,,,
EE02388,,,,,,,,
EE02389,,,,,,,,
EE02390,,,,,,,,
EE02391,,,,,,,,
EE02393,,,,,,,,
EE02392,,,,,,,,
EE02394,,,,,,,,
EE02395,,,,,,,,
EE02396,,,,,,,,
EE02397,,,,,,,,
EE02320,,,,,,,,
EE02321,,,,,,,,
EE02322,,,,,,,,
EE02398,,,,,,,,
EE02399,,,,,,,,
EE02400,,,,,,,,
EE02323,,,,,,,,
EE02401,,,,,,,,
EE02402,,,,,,,,
EE02403,,,,,,,,
EE02404,,,,,,,,
EE02405,,,,,,,,
EE02406,,,,,,,,
EE02407,,,,,,,,
EE02413,,,,,,,,
EE02414,,,,,,,,
EE02324,,,,,,,,
EE02325,,,,,,,,
EE02408,,,,,,,,
EE02409,,,,,,,,
EE02410,,,,,,,,
EE02411,,,,,,,,
EE02412,,,,,,,,
EE02423,,,,,,,,
EE02424,,,,,,,,
EE02425,,,,,,,,
EE02326,,,,,,,,
EE02327,,,,,,,,
EE02328,,,,,,,,
EE02415,,,,,,,,
EE02416,,,,,,,,
EE02417,,,,,,,,
EE02418,,,,,,,,
EE02419,,,,,,,,
EE02420,,,,,,,,
EE02421,,,,,,,,
EE02422,,,,,,,,
EE02426,,,,,,,,
EE02427,,,,,,,,
EE02428,,,,,,,,
EE02429,,,,,,,,
EE02430,,,,,,,,
EE02431,,,,,,,,
EE02432,,,,,,,,
EE02433,,,,,,,,
EE02434,,,,,,,,
EE02435,,,,,,,,
EE02436,,,,,,,,
EE02329,,,,,,,,
EE02330,,,,,,,,
EE02331,,,,,,,,
EE02332,,,,,,,,
EE02333,,,,,,,,
EE02334,,,,,,,,
EE02335,,,,,,,,
EE02437,,,,,,,,
EE02438,,,,,,,,
EE02439,,,,,,,,
EE02440,,,,,,,,
EE02441,,,,,,,,
EE02442,,,,,,,,
EE02443,,,,,,,,
EE02444,,,,,,,,
EE01136,,,,,,,,
EE02445,,,,,,,,
EE02446,,,,,,,,
EE02447,,,,,,,,
EE02448,,,,,,,,
EE02449,,,,,,,,
EE02450,,,,,C4382,FF03206,,
EE02501,,,,,,,,
EE02502,,,,,,,,
EE02503,,,,,,,,
EE02504,,,,,,,,
EE02505,,,,,,,,
EE02506,,,,,,,,
EE02507,,,,,,,,
EE02508,,,,,,,,
EE01238,,,,,,,,
EE02509,,,,,,,,
EE02510,,,,,,,,
EE02511,,,,,,,,
EE02512,,,,,,,,
EE02513,,,,,,,,
EE02514,,,,,,,,
EE02515,,,,,,,,
EE02516,,,,,,,,
EE02517,,,,,,,,
EE02518,,,,,,,,
EE02519,,,,,,,,
EE02520,,,,,,,,
EE02521,,,,,,,,
EE02522,,,,,,,,
EE02336,,,,,,,,
EE02337,,,,,,,,
EE02338,,,,,,,,
EE02339,,,,,,,,
EE02340,,,,,,,,
EE02341,,,,,,,,
EE02342,,,,,,,,
EE02343,,,,,,,,
EE02344,,,,,,,,
EE02345,,,,,,,,
EE02346,,,,,,,,
EE02347,,,,,,,,
EE02523,,,,,,,,
EE02524,,,,,,,,
EE02525,,,,,,,,
EE02526,,,,,,,,
EE02527,,,,,,,,
EE02528,,,,,,,,
EE02529,,,,,,,,
EE01508,,,,,,,,
EE02530,,,,,,,,
EE02531,,,,,,,,
EE02532,,,,,,,,
EE02533,,,,,,,,
EE02534,,,,,,,,
EE02535,,,,,,,,
EE02536,,,,,,,,
EE02537,,,,,,,,
EE02538,,,,,,,,
EE02539,,,,,,,,
EE02540,,,,,,,,
EE02541,,,,,,,,
EE02348,,,,,,,,
EE02349,,,,,,,,
EE02542,,,,,,,,
EE02543,,,,,,,,
EE02544,,,,,,,,
EE02545,,,,,,,,
EE02546,,,,,,,,
EE02547,,,,,,,,
EE02548,,,,,,,,
EE02549,,,,,,,,
EE02550,,,,,,,,
EE02555,,,,,,,,
EE02556,,,,,,,,
EE02557,,,,,,,,
EE02558,,,,,,,,
EE02559,,,,,,,,
EE02560,,,,,,,,
EE02561,,,,,,,,
EE02562,,,,,,,,
EE02563,,,,,,,,
EE02564,,,,,,,,
EE02565,,,,,,,,
EE02566,,,,,,,,
EE02567,,,,,,,,
EE02568,,,,,,,,
EE02569,,,,,,,,
EE02570,,,,,,,,
EE02572,,,,,,,,
EE02573,,,,,,,,
EE02574,,,,,,,,
EE02575,,,,,,,,
EE02576,,,,,,,,
EE02577,,,,,,,,
EE02578,,,,,,,,
EE02579,,,,,,,,
EE02580,,,,,,,,
EE02581,,,,,,,,
EE02582,,,,,,,,
EE02583,,,,,,,,
EE02584,,,,,,,,
EE02585,,,,,,,,
EE01351,,,,,,,,
EE01652,,,,,,,,
EE02586,,,,,,,,
EE02587,,,,,,,,
EE02588,,,,,,,,
EE02589,,,,,,,,
EE02590,,,,,,,,
EE02591,,,,,,,,
EE02592,,,,,,,,
EE02593,,,,,,,,
EE02594,,,,,,,,
EE02595,,,,,,,,
EE02596,,,,,,,,
EE02597,,,,,,,,
EE02598,,,,,,,,
EE02599,,,,,,,,
EE02600,,,,,,,,
EE02601,,,,,,,,
EE02602,,,,,,,,
EE02603,,,,,,,,
EE02604,,,,,,,,
EE02607,,,,,,,,
EE02608,,,,,,,,
